Impedance,Resistance,Reactance,HT
46.39,-74.39,2.22E-11,1
46.39,-74.27,2.22E-11,1
45.49,-72.32,2.28E-11,1
46.73,-77.16,2.13E-11,1
46.15,-74.43,2.20E-11,1
46.00,-74.02,2.21E-11,1
43.16,-65.90,2.48E-11,1
45.18,-74.13,2.20E-11,1
46.08,-75.16,2.17E-11,1
45.55,-73.88,2.20E-11,1
43.22,-66.48,2.45E-11,1
45.28,-74.23,2.19E-11,1
46.52,-77.50,2.09E-11,1
45.45,-74.22,2.18E-11,1
45.48,-74.16,2.18E-11,1
45.00,-72.09,2.24E-11,1
46.03,-76.81,2.10E-11,1
45.28,-74.69,2.15E-11,1
45.12,-74.21,2.16E-11,1
42.02,-65.00,2.47E-11,1
44.64,-74.25,2.16E-11,1
44.74,-75.58,2.12E-11,1
44.56,-74.27,2.15E-11,1
43.38,-69.95,2.28E-11,1
43.90,-74.43,2.14E-11,1
44.90,-78.01,2.04E-11,1
44.15,-74.66,2.13E-11,1
44.14,-74.60,2.12E-11,1
43.29,-72.42,2.19E-11,1
44.36,-77.00,2.05E-11,1
43.10,-75.17,2.10E-11,1
43.22,-74.69,2.11E-11,1
39.86,-64.11,2.45E-11,1
42.76,-74.76,2.10E-11,1
42.56,-76.20,2.06E-11,1
42.36,-74.86,2.09E-11,1
41.73,-72.93,2.14E-11,1
41.92,-75.08,2.08E-11,1
42.43,-78.86,1.98E-11,1
41.60,-75.32,2.07E-11,1
41.39,-75.21,2.07E-11,1
41.40,-72.93,2.13E-11,1
41.67,-77.03,2.01E-11,1
41.23,-75.57,2.05E-11,1
40.79,-75.04,2.06E-11,1
37.42,-62.69,2.46E-11,1
40.32,-74.98,2.06E-11,1
40.31,-76.45,2.01E-11,1
39.95,-74.89,2.05E-11,1
39.65,-74.28,2.07E-11,1
39.68,-75.01,2.04E-11,1
39.91,-78.68,1.95E-11,1
39.61,-75.14,2.03E-11,1
39.03,-75.04,2.03E-11,1
39.27,-72.73,2.10E-11,1
39.34,-76.56,1.99E-11,1
38.49,-75.38,2.02E-11,1
38.34,-74.96,2.02E-11,1
34.49,-60.36,2.51E-11,1
38.10,-75.04,2.02E-11,1
37.56,-76.38,1.98E-11,1
37.41,-74.91,2.01E-11,1
37.26,-75.00,2.01E-11,1
37.25,-75.13,2.00E-11,1
36.72,-78.62,1.91E-11,1
36.47,-75.12,2.00E-11,1
36.56,-74.99,2.00E-11,1
36.47,-72.74,2.06E-11,1
36.32,-76.03,1.97E-11,1
35.79,-74.97,1.99E-11,1
35.55,-74.47,2.00E-11,1
30.70,-56.74,2.62E-11,1
35.45,-74.67,1.99E-11,1
34.84,-75.80,1.96E-11,1
34.64,-74.23,2.00E-11,1
34.73,-74.32,1.99E-11,1
34.85,-74.42,1.99E-11,1
34.39,-77.65,1.90E-11,1
34.21,-74.33,1.98E-11,1
33.78,-74.00,1.99E-11,1
33.88,-71.80,2.05E-11,1
33.85,-74.77,1.96E-11,1
33.29,-74.09,1.98E-11,1
33.23,-73.59,1.99E-11,1
26.41,-50.75,2.88E-11,1
32.93,-73.71,1.98E-11,1
32.55,-74.93,1.95E-11,1
32.13,-73.36,1.98E-11,1
32.22,-73.43,1.98E-11,1
32.21,-73.41,1.98E-11,1
31.69,-76.70,1.89E-11,1
31.30,-73.41,1.97E-11,1
31.47,-73.24,1.97E-11,1
31.60,-70.99,2.03E-11,1
31.26,-73.64,1.96E-11,1
30.95,-73.20,1.97E-11,1
30.68,-72.69,1.98E-11,1
24.75,-50.28,2.86E-11,1
30.49,-72.79,1.97E-11,1
30.05,-73.89,1.94E-11,1
29.80,-72.32,1.98E-11,1
29.83,-72.33,1.97E-11,1
30.02,-72.22,1.97E-11,1
29.35,-75.38,1.89E-11,1
29.11,-72.23,1.97E-11,1
29.33,-72.03,1.97E-11,1
29.36,-69.70,2.04E-11,1
28.95,-72.21,1.96E-11,1
28.62,-71.99,1.97E-11,1
28.51,-71.51,1.98E-11,1
23.54,-51.02,2.77E-11,1
28.02,-71.64,1.97E-11,1
27.64,-72.79,1.93E-11,1
27.51,-71.27,1.97E-11,1
27.52,-71.36,1.97E-11,1
27.46,-70.98,1.98E-11,1
26.69,-74.21,1.89E-11,1
26.80,-71.33,1.96E-11,1
26.54,-71.04,1.97E-11,1
26.82,-68.72,2.03E-11,1
26.34,-71.04,1.96E-11,1
25.87,-70.92,1.96E-11,1
25.74,-70.43,1.97E-11,1
22.20,-51.90,2.67E-11,1
25.42,-70.48,1.97E-11,1
24.74,-71.57,1.93E-11,1
24.74,-70.00,1.97E-11,1
24.72,-70.01,1.97E-11,1
24.69,-69.40,1.99E-11,1
23.95,-72.58,1.90E-11,1
23.94,-69.80,1.97E-11,1
23.65,-69.41,1.98E-11,1
23.91,-66.96,2.05E-11,1
23.45,-69.16,1.98E-11,1
23.07,-69.03,1.98E-11,1
22.61,-68.37,2.00E-11,1
20.19,-51.90,2.63E-11,1
22.32,-68.13,2.00E-11,1
21.68,-68.98,1.97E-11,1
21.72,-67.36,2.02E-11,1
21.70,-67.10,2.02E-11,1
22.08,-66.24,2.05E-11,1
21.21,-69.02,1.96E-11,1
21.32,-66.41,2.04E-11,1
21.38,-65.89,2.05E-11,1
21.66,-63.34,2.13E-11,1
21.43,-65.49,2.06E-11,1
21.11,-65.28,2.06E-11,1
21.09,-64.66,2.08E-11,1
18.93,-50.58,2.65E-11,1
21.41,-64.61,2.07E-11,1
20.76,-65.55,2.04E-11,1
20.99,-64.12,2.09E-11,1
21.06,-63.98,2.09E-11,1
21.33,-63.31,2.11E-11,1
20.81,-66.19,2.01E-11,1
20.74,-63.81,2.08E-11,1
20.88,-63.55,2.09E-11,1
21.20,-61.09,2.17E-11,1
20.99,-63.49,2.09E-11,1
