Impedance,Resistance,Reactance,
45.26,-139.64,2.02E-12,1
42.67,-136.52,2.06E-12,1
39.8,-133.16,2.11E-12,1
37.74,-136.49,2.05E-12,1
34.32,-125.43,2.22E-12,1
31.97,-122.27,2.28E-12,1
29.84,-120.19,2.31E-12,1
27.83,-117.17,2.36E-12,1
25.84,-113.93,2.42E-12,1
24.19,-110.75,2.49E-12,1
22.48,-107.08,2.57E-12,1
20.74,-104.15,2.63E-12,1
19.35,-101.98,2.68E-12,1
18.02,-99.07,2.75E-12,1
17.05,-96.62,2.81E-12,1
15.91,-93.36,2.91E-12,1
14.84,-90.65,2.98E-12,1
13.64,-88.34,3.06E-12,1
13.14,-86.04,3.13E-12,1
12.26,-83.6,3.21E-12,1
13.28,-83.35,3.21E-12,1
11.18,-78.51,3.40E-12,1
10.27,-75.7,3.52E-12,1
10.48,-74.43,3.57E-12,1
10.22,-72.38,3.66E-12,1
10.01,-70.31,3.76E-12,1
9.79,-68.4,3.86E-12,1
9.12,-66.27,3.97E-12,1
9.1,-64.46,4.07E-12,1
9.41,-63.14,4.15E-12,1
9.21,-61.43,4.25E-12,1
14.46,-63.92,4.08E-12,1
9.08,-58.09,4.48E-12,1
8.65,-56.44,4.60E-12,1
8.9,-55.25,4.68E-12,1
9.16,-54.04,4.78E-12,1
9.1,-52.75,4.88E-12,1
10.08,-52.03,4.94E-12,1
9.09,-50,5.13E-12,1
8.52,-48.69,5.25E-12,1
9.35,-48.08,5.30E-12,1
9.4,-47.09,5.40E-12,1
9.34,-46.03,5.51E-12,1
9.27,-45.26,5.60E-12,1
9.1,-44.33,5.70E-12,1
8.95,-43.33,5.82E-12,1
9.01,-42.72,5.89E-12,1
8.96,-41.59,6.03E-12,1
23.13,-44.42,5.63E-12,1
8.26,-39.97,6.25E-12,1
7.32,-38.67,6.44E-12,1
7.83,-37.98,6.54E-12,1
7.84,-37.1,6.68E-12,1
7.62,-36.11,6.85E-12,1
7.85,-35.33,6.98E-12,1
7.09,-34.13,7.21E-12,1
6.8,-33.16,7.41E-12,1
7.44,-32.24,7.60E-12,1
7.39,-31.37,7.79E-12,1
7.35,-30.48,8.00E-12,1
7.13,-29.57,8.23E-12,1
6.93,-28.69,8.46E-12,1
7.2,-28,8.65E-12,1
7.54,-27.1,8.92E-12,1
7.54,-26.29,9.17E-12,1
10.84,-25.21,9.54E-12,1
7.35,-24.76,9.70E-12,1
6.71,-24.29,9.86E-12,1
7.67,-23.47,1.02E-11,1
7.78,-22.84,1.04E-11,1
7.67,-22.31,1.07E-11,1
7.84,-21.42,1.11E-11,1
7.36,-21.02,1.13E-11,1
7.15,-20.63,1.15E-11,1
7.65,-19.89,1.19E-11,1
7.47,-19.42,1.21E-11,1
10.73,-17.7,1.33E-11,1
7.25,-18.14,1.29E-11,1
6.83,-17.45,1.34E-11,1
6.77,-16.81,1.39E-11,1
6.87,-15.96,1.46E-11,1
6.71,-15.31,1.52E-11,1
8.26,-14.02,1.65E-11,1
6.56,-13.87,1.67E-11,1
5.74,-13.4,1.72E-11,1
6.65,-12.41,1.86E-11,1
6.7,-11.66,1.97E-11,1
6.62,-10.93,2.10E-11,1
6.84,-10.44,2.19E-11,1
6.59,-9.83,2.32E-11,1
6.58,-8.96,2.54E-11,1
7.08,-8.13,2.80E-11,1
7.1,-7.59,2.99E-11,1
19.3,1.57,3.55E-10,1
7.2,-6.72,3.36E-11,1
6.58,-6.27,3.60E-11,1
7.3,-5.34,4.21E-11,1
7.6,-4.68,4.80E-11,1
7.62,-4.14,5.41E-11,1
8.31,-3.37,6.62E-11,1
7.48,-3.63,6.14E-11,1
7.14,-3.2,6.95E-11,1
7.91,-2.08,1.07E-10,1
7.88,-1.53,1.45E-10,1
7.8,-1.08,2.05E-10,1
7.64,-0.88,2.52E-10,1
7.44,-0.42,5.26E-10,1
7.67,0.59,1.29E-10,1
8.02,1.37,3.02E-10,1
7.99,1.9,4.16E-10,1
12.5,6.87,1.50E-09,1
7.9,2.67,5.82E-10,1
7.35,2.84,6.17E-10,1
8.36,4.08,8.86E-10,1
8.67,4.81,1.04E-09,1
8.78,5.28,1.14E-09,1
8.97,6.07,1.31E-09,1
8.61,6.03,1.30E-09,1
8.91,6.28,1.35E-09,1
9.64,7.34,1.57E-09,1
9.79,7.62,1.63E-09,1
10.89,9.14,1.95E-09,1
9.8,8.19,1.75E-09,1
9.75,8.39,1.79E-09,1
10.02,8.67,1.84E-09,1
10.23,9.35,1.98E-09,1
10.16,9.6,2.03E-09,1
11.8,11.98,2.53E-09,1
9.92,9.9,2.09E-09,1
9.24,9.59,2.02E-09,1
9.88,11.07,2.32E-09,1
9.91,11.44,2.40E-09,1
9.76,11.86,2.48E-09,1
9.54,12.52,2.61E-09,1
9.21,12.47,2.60E-09,1
9.14,13.05,2.71E-09,1
9.41,14.12,2.93E-09,1
9.23,14.63,3.03E-09,1
15.05,25.24,5.21E-09,1
8.99,15.35,3.17E-09,1
8.48,15.41,3.17E-09,1
8.85,16.6,3.41E-09,1
8.9,17.56,3.60E-09,1
8.89,18.03,3.69E-09,1
9.16,19.77,4.04E-09,1
8.27,19.04,3.88E-09,1
8.14,19,3.87E-09,1
8.63,20.83,4.23E-09,1
8.66,21.63,4.38E-09,1
8.64,22.3,4.51E-09,1
8.53,22.86,4.62E-09,1
8.41,23.34,4.71E-09,1
8.72,24.21,4.87E-09,1
8.9,25.49,5.12E-09,1
8.89,26.15,5.24E-09,1
12.73,36.85,7.37E-09,1
9.08,27.38,5.47E-09,1
8.86,27.02,5.38E-09,1
9.41,28.79,5.73E-09,1
9.75,29.81,5.92E-09,1
9.83,30.51,6.05E-09,1
10.16,31.82,6.29E-09,1
10.06,31.74,6.27E-09,1
10.22,32.21,6.35E-09,1
10.71,33.9,6.67E-09,1
10.95,34.74,6.82E-09,1
11.29,35.72,7.00E-09,1
11.69,35.97,7.04E-09,1
11.85,36.64,7.16E-09,1
12.27,37.75,7.36E-09,1
12.85,38.92,7.57E-09,1
13.25,39.64,7.70E-09,1
14.05,43.53,8.44E-09,1
13.84,40.65,7.87E-09,1
14.62,40.59,7.84E-09,1
15.28,42.59,8.21E-09,1
15.79,43.6,8.39E-09,1
16.31,44.29,8.51E-09,1
16.44,44.92,8.61E-09,1
17.31,45.03,8.62E-09,1
18.17,45.86,8.76E-09,1
18.72,47.08,8.98E-09,1
19.52,47.59,9.06E-09,1
20.14,54.25,1.03E-08,1
20.94,48.66,9.23E-09,1
21.95,48.52,9.19E-09,1
23.13,49.29,9.32E-09,1
23.78,49.86,9.41E-09,1
24.49,49.93,9.41E-09,1
24.59,51.58,9.70E-09,1
25.5,49.73,9.34E-09,1
26.44,49.07,9.20E-09,1
26.77,50.38,9.42E-09,1
27.04,50.48,9.43E-09,1
27.11,50.34,9.38E-09,1
27.02,50.48,9.39E-09,1
27.55,50.24,9.33E-09,1
28.04,50.54,9.37E-09,1
27.97,51.44,9.52E-09,1
28.16,51.58,9.53E-09,1
22.74,65.06,1.20E-08,1
28.06,51.97,9.57E-09,1
28.84,51.23,9.42E-09,1
28.74,52.74,9.68E-09,1
28.54,53.47,9.80E-09,1
28.51,53.87,9.85E-09,1
27.48,55.67,1.02E-08,1
28.22,54.99,1.00E-08,1
28.7,54.94,1.00E-08,1
28.5,56.79,1.03E-08,1
28.39,57.27,1.04E-08,1
28.64,58.21,1.05E-08,1
28.68,59.55,1.08E-08,1
29.01,60.18,1.09E-08,1
29.14,60.89,1.10E-08,1
29.26,62.24,1.12E-08,1
29.57,63.33,1.14E-08,1
27.26,67.15,1.20E-08,1
30.44,65.32,1.17E-08,1
31.61,65.59,1.17E-08,1
31.44,67.46,1.20E-08,1
31.6,68.55,1.22E-08,1
32.41,69.65,1.24E-08,1
32.96,71.1,1.26E-08,1
34.28,71.82,1.27E-08,1
34.7,72.35,1.28E-08,1
34.92,73.65,1.30E-08,1
35.64,74.72,1.32E-08,1
33.67,76.53,1.35E-08,1
37.17,76.85,1.35E-08,1
38.06,77.91,1.37E-08,1
38.84,79.46,1.39E-08,1
39.32,80.75,1.41E-08,1
40.07,81.41,1.42E-08,1
38.24,82.76,1.44E-08,1
41.89,84.22,1.47E-08,1
44.27,85.5,1.48E-08,1
43.59,86.52,1.50E-08,1
44.3,87.59,1.52E-08,1
45.23,88.97,1.54E-08,1
45.39,91.14,1.57E-08,1
47.22,93.59,1.61E-08,1
48.55,94.64,1.63E-08,1
48.77,96.31,1.65E-08,1
50.14,98.36,1.69E-08,1
34.49,91.03,1.56E-08,1
53.37,103.3,1.77E-08,1
56.55,105.53,1.80E-08,1
57.02,107.73,1.84E-08,1
58.19,109.35,1.86E-08,1
60.67,112.16,1.90E-08,1
62.22,113.47,1.92E-08,1
68.88,119.03,2.01E-08,1
73.32,123.21,2.08E-08,1
73.04,123.06,2.08E-08,1
77.22,125.56,2.12E-08,1
83.25,129.06,2.17E-08,1
90.31,131.4,2.21E-08,1
97.45,133.87,2.24E-08,1
101.49,135.26,2.26E-08,1
106.04,134.75,2.25E-08,1
114.36,134.92,2.25E-08,1
84.87,112.98,1.88E-08,1
133.03,132.27,2.20E-08,1
151.34,134.38,2.23E-08,1
145.88,127.67,2.12E-08,1
150.5,122.69,2.03E-08,1
157.52,117.02,1.93E-08,1
157.43,107.79,1.78E-08,1
171.73,102.54,1.69E-08,1
180.03,97.71,1.61E-08,1
171.98,91.68,1.51E-08,1
174.49,84.26,1.38E-08,1
165.66,80.62,1.32E-08,1
178.27,69.94,1.14E-08,1
181.05,62.16,1.02E-08,1
180.67,60.51,9.87E-09,1
176.93,56.32,9.17E-09,1
178.11,52.59,8.55E-09,1
149.97,60.73,9.86E-09,1
179.07,40.01,6.48E-09,1
187.83,26.01,4.21E-09,1
174.37,33,5.33E-09,1
170.09,28.57,4.61E-09,1
167.53,23.59,3.80E-09,1
161.31,20.83,3.35E-09,1
162.97,13.7,2.20E-09,1
160.56,11.3,1.81E-09,1
153.69,15.88,2.54E-09,1
150.19,14.06,2.25E-09,1
97.72,50.9,8.13E-09,1
146.11,12.57,2.00E-09,1
145.32,14.89,2.37E-09,1
140.9,18.32,2.91E-09,1
139.73,17.78,2.82E-09,1
99.09,49.28,7.81E-09,1
140.82,18.09,2.86E-09,1
147.19,9.65,1.53E-09,1
140.88,19.84,3.13E-09,1
139.94,22.15,3.49E-09,1
140.06,20.8,3.27E-09,1
136.81,25.11,3.94E-09,1
144.86,20.19,3.17E-09,1
148.23,16.47,2.58E-09,1
142.94,22.59,3.53E-09,1
144.01,22.5,3.51E-09,1
140.23,28.09,4.38E-09,1
148.76,21.9,3.41E-09,1
150.98,18.98,2.95E-09,1
150.48,20.66,3.21E-09,1
149.7,23.58,3.66E-09,1
152.26,22.14,3.43E-09,1
134.73,38.91,6.01E-09,1
161.09,17.71,2.73E-09,1
167.64,8.03,1.24E-09,1
161.56,20.25,3.12E-09,1
161.65,19.15,2.94E-09,1
165.04,18.28,2.80E-09,1
165.54,15.89,2.43E-09,1
174.05,8.42,1.29E-09,1
179.81,9.39,1.43E-09,1
177.21,15,2.29E-09,1
180.99,11.56,1.76E-09,1
111.37,57.04,8.68E-09,1
189.58,-0.08,1.84E-09,1
199.73,-13.08,1.16E-11,1
198.91,-6.4,2.37E-11,1
199.32,-6.59,2.30E-11,1
204.33,-13.13,1.15E-11,1
190.3,-0.81,1.87E-10,1
209.29,-35.04,4.30E-12,1
217,-57.31,2.62E-12,1
214.21,-41.04,3.66E-12,1
210.4,-48.55,3.09E-12,1
208.54,-59.21,2.53E-12,1
205.39,-66.36,2.25E-12,1
206.19,-83.26,1.79E-12,1
201.01,-89.03,1.68E-12,1
197.33,-85.1,1.75E-12,1
194.43,-93.41,1.59E-12,1
119.35,45.6,6.77E-09,1
182.36,-109.77,1.35E-12,1
163.23,-137.08,1.08E-12,1
168.66,-117.02,1.26E-12,1
165.32,-115.63,1.28E-12,1
158.31,-120.26,1.23E-12,1
157,-110.71,1.33E-12,1
142.53,-130.95,1.12E-12,1
132.45,-138.02,1.06E-12,1
137.25,-126.57,1.16E-12,1
132.56,-127.93,1.15E-12,1
126.19,-129,1.13E-12,1
117.87,-132.75,1.10E-12,1
110.04,-135.61,1.08E-12,1
108.35,-132.67,1.10E-12,1
107.59,-128.55,1.13E-12,1
103.68,-130.44,1.11E-12,1
129.01,-92.13,1.58E-12,1
90.01,-131.54,1.10E-12,1
74.7,-137,1.06E-12,1
83.87,-129.94,1.11E-12,1
81.14,-127.91,1.13E-12,1
75.74,-127.91,1.13E-12,1
73.83,-123.56,1.16E-12,1
63.62,-127.54,1.13E-12,1
58,-127.28,1.13E-12,1
60.77,-123.28,1.16E-12,1
56.22,-120.25,1.19E-12,1
91.27,-99.09,1.44E-12,1
47,-117.14,1.22E-12,1
40.16,-113.28,1.26E-12,1
41,-112.45,1.27E-12,1
40.9,-109.56,1.30E-12,1
37.76,-107.55,1.32E-12,1
46.05,-100.66,1.41E-12,1
30.54,-102.04,1.39E-12,1
24.05,-100.92,1.40E-12,1
29.14,-97.31,1.45E-12,1
27.63,-94.49,1.49E-12,1
26.12,-92.23,1.53E-12,1
25.21,-88.84,1.58E-12,1
21.19,-87.54,1.61E-12,1
20.19,-86.23,1.63E-12,1
21.96,-83.55,1.68E-12,1
20.75,-81.39,1.72E-12,1
64.69,-46.68,2.99E-12,1
18.16,-77.02,1.81E-12,1
13.73,-75.79,1.84E-12,1
16.66,-73.64,1.89E-12,1
17.37,-71.96,1.93E-12,1
16.22,-69.45,2.00E-12,1
18.66,-66.65,2.08E-12,1
14.36,-66.37,2.09E-12,1
12.47,-65.79,2.10E-12,1
14.81,-63.72,2.17E-12,1
14.57,-61.7,2.24E-12,1
14.02,-60.34,2.28E-12,1
13.47,-59.02,2.33E-12,1
12.39,-57.85,2.38E-12,1
12.57,-56.67,2.42E-12,1
13.1,-54.71,2.51E-12,1
12.78,-53.66,2.55E-12,1
21.39,-47.85,2.86E-12,1
11.61,-51.04,2.68E-12,1
9.42,-51.1,2.67E-12,1
11.51,-49.03,2.78E-12,1
11.72,-47.87,2.84E-12,1
11.42,-46.76,2.91E-12,1
11.94,-45,3.02E-12,1
10.72,-44.92,3.02E-12,1
10.1,-44.27,3.06E-12,1
11.02,-42.65,3.17E-12,1
10.88,-41.69,3.24E-12,1
15.95,-37.84,3.56E-12,1
10.5,-40.11,3.36E-12,1
9.7,-39.15,3.44E-12,1
10.06,-38.39,3.50E-12,1
10.25,-37.24,3.60E-12,1
10.21,-36.34,3.69E-12,1
11.58,-33.99,3.94E-12,1
9.5,-35.01,3.82E-12,1
8.59,-34.95,3.82E-12,1
9.46,-33.15,4.02E-12,1
