Impedance,Resistance,Reactance,HT
15.97,-60.97,5.15E-11,0
23.20,-59.37,5.28E-11,0
16.56,-59.89,5.22E-11,0
16.89,-59.39,5.25E-11,0
17.17,-58.84,5.28E-11,0
24.96,-57.51,5.39E-11,0
24.78,-57.26,5.39E-11,0
18.12,-57.15,5.39E-11,0
18.62,-56.67,5.42E-11,0
26.86,-55.53,5.51E-11,0
28.07,-55.85,5.47E-11,0
20.14,-55.34,5.50E-11,0
20.68,-54.97,5.52E-11,0
21.41,-54.72,5.53E-11,0
31.70,-55.75,5.41E-11,0
23.18,-54.49,5.52E-11,0
24.00,-54.70,5.49E-11,0
24.79,-55.00,5.44E-11,0
35.06,-59.63,5.00E-11,0
34.97,-60.89,4.89E-11,0
26.83,-56.93,5.21E-11,0
27.04,-57.73,5.13E-11,0
32.56,-64.21,4.60E-11,0
32.58,-66.66,4.42E-11,0
26.35,-60.32,4.87E-11,0
25.82,-61.06,4.79E-11,0
24.89,-61.50,4.75E-11,0
27.42,-67.98,4.28E-11,0
23.38,-61.63,4.71E-11,0
22.66,-61.71,4.69E-11,0
22.02,-61.54,4.69E-11,0
23.68,-66.58,4.33E-11,0
22.91,-66.35,4.33E-11,0
20.12,-60.81,4.71E-11,0
19.28,-60.33,4.74E-11,0
20.08,-63.57,4.48E-11,0
19.64,-64.16,4.43E-11,0
17.86,-59.05,4.80E-11,0
17.47,-58.61,4.82E-11,0
16.95,-58.12,4.85E-11,0
17.93,-61.48,4.57E-11,0
16.21,-57.06,4.91E-11,0
15.83,-56.55,4.95E-11,0
15.51,-55.97,4.98E-11,0
16.06,-58.89,4.73E-11,0
15.89,-58.28,4.76E-11,0
14.82,-54.28,5.10E-11,0
14.58,-53.78,5.13E-11,0
15.02,-55.67,4.95E-11,0
14.96,-56.11,4.90E-11,0
14.15,-52.28,5.24E-11,0
13.95,-51.69,5.29E-11,0
13.88,-51.12,5.33E-11,0
14.34,-53.34,5.10E-11,0
13.58,-49.79,5.45E-11,0
13.59,-49.22,5.50E-11,0
13.47,-48.66,5.55E-11,0
14.27,-50.16,5.36E-11,0
13.99,-49.80,5.39E-11,0
13.28,-46.57,5.75E-11,0
13.35,-45.92,5.82E-11,0
13.70,-46.73,5.70E-11,0
13.81,-47.27,5.62E-11,0
13.34,-43.85,6.05E-11,0
13.36,-43.22,6.12E-11,0
13.47,-42.65,6.18E-11,0
13.99,-44.33,5.94E-11,0
13.59,-41.49,6.33E-11,0
13.67,-40.92,6.40E-11,0
13.68,-40.40,6.47E-11,0
14.25,-41.82,6.23E-11,0
14.19,-41.64,6.24E-11,0
13.88,-38.76,6.69E-11,0
13.90,-38.28,6.76E-11,0
14.13,-38.84,6.64E-11,0
14.32,-39.48,6.52E-11,0
14.05,-36.77,6.98E-11,0
14.05,-36.30,7.06E-11,0
